City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,longyan,25.1072,117.0225,21.05,65,65,1.07,CN,1675396799
303,longyearbyen,78.2186,15.6401,-17.83,84,96,1.59,SJ,1675396799
304,kulhudhuffushi,6.6221,73.07,26.59,74,57,5.3,MV,1675396800
305,cockburn town,21.4612,-71.1419,24.99,70,4,9.01,TC,1675396800
306,kupang,-10.1667,123.5833,28.32,83,75,4.12,ID,1675396801
307,deer lake,49.1667,-57.4316,-18.08,85,100,1.03,CA,1675396801
308,dargaville,-35.9333,173.8833,24.48,83,100,2.94,NZ,1675396802
309,cairns,-16.9167,145.7667,35.59,75,40,4.63,AU,1675396512
310,bambous virieux,-20.3428,57.7575,25.68,94,75,1.54,MU,1675396803
311,port-cartier,50.0334,-66.8654,-6.88,95,100,5.37,CA,1675396806
312,soyo,-6.1349,12.3689,26.58,88,97,3.5,AO,1675396811
313,norman wells,65.282,-126.8329,-37.98,67,40,0.0,CA,1675396817
314,egvekinot,66.3167,-179.1667,-27.1,89,15,8.14,RU,1675396822
315,mecca,21.4267,39.8261,17.4,46,0,1.51,SA,1675396817
316,mahon,39.8885,4.2658,11.31,71,75,6.17,ES,1675396832
317,port lincoln,-34.7333,135.8667,16.75,55,88,10.4,AU,1675396834
318,yen bai,21.7,104.8667,20.14,92,100,0.53,VN,1675396683
319,huron,41.1501,-82.5499,-1.13,74,83,7.93,US,1675396838
320,kaitangata,-46.2817,169.8464,19.7,84,64,2.5,NZ,1675396839
321,ambulu,-8.345,113.6058,24.91,87,100,1.07,ID,1675396839
322,honiara,-9.4333,159.95,28.54,81,99,2.48,SB,1675396840
323,faanui,-16.4833,-151.75,27.27,78,15,8.21,PF,1675396840
324,ikwiriri,-7.9562,38.9716,23.58,96,100,0.49,TZ,1675396840
325,morondava,-20.2833,44.2833,25.79,84,24,1.83,MG,1675396841
326,mwinilunga,-11.7358,24.4293,15.63,98,99,0.76,ZM,1675396841
327,coahuayana,18.7333,-103.6833,21.38,69,49,1.76,MX,1675396842
328,pokrovsk,48.282,37.1758,-2.6,93,83,3.91,UA,1675396842
329,sinnamary,5.3833,-52.95,23.72,90,94,3.72,GF,1675396843
330,taitung,22.7583,121.1444,25.15,65,40,4.12,TW,1675396307
331,jumla,29.2747,82.1838,10.99,14,12,1.46,NP,1675396846
332,kavieng,-2.5744,150.7967,29.15,70,95,3.53,PG,1675396847
333,tolaga bay,-38.3667,178.3,22.24,81,98,5.41,NZ,1675396847
334,boysun,38.2061,67.1986,4.84,67,87,1.75,UZ,1675396847
335,praia da vitoria,38.7333,-27.0667,15.42,88,40,7.81,PT,1675396848
336,kenora,49.8167,-94.4337,-28.46,63,20,2.57,CA,1675396618
337,yinchuan,38.4681,106.2731,-1.44,26,0,1.41,CN,1675396848
338,buin,-33.7333,-70.75,27.29,32,0,0.54,CL,1675396849
339,nanga eboko,4.6833,12.3667,18.71,59,90,0.28,CM,1675396849
340,newcastle,-32.9272,151.7765,33.32,32,0,4.63,AU,1675396770
341,nome,64.5011,-165.4064,-19.5,87,10,2.41,US,1675396849
342,havre-saint-pierre,50.2334,-63.5986,-5.8,68,100,4.12,CA,1675396850
343,sipe sipe,-17.45,-66.3833,15.09,71,100,2.59,BO,1675396851
344,bilibino,68.0546,166.4372,-15.7,94,100,0.46,RU,1675396851
345,san rafael del sur,11.8485,-86.4384,23.54,65,97,6.74,NI,1675396852
346,panalingaan,8.7842,117.4231,29.59,62,100,1.15,PH,1675396852
347,kashi,39.4547,75.9797,-6.44,73,20,5.0,CN,1675396852
348,hobyo,5.3505,48.5268,24.59,65,40,7.57,SO,1675396853
349,taywarah,33.35,64.4167,-2.54,98,88,1.86,AF,1675396853
350,mersing,2.4312,103.8405,25.95,89,40,2.06,MY,1675396853
351,half moon bay,37.4636,-122.4286,14.95,51,0,7.2,US,1675396756
352,kiruna,67.8557,20.2251,-22.49,84,42,3.09,SE,1675396854
353,fare,-16.7,-151.0167,27.13,79,6,7.6,PF,1675396854
354,beyneu,45.3167,55.2,-0.3,90,84,4.52,KZ,1675396855
355,guozhen,34.3659,107.359,8.08,39,5,0.59,CN,1675396855
356,buy,58.4786,41.53,-4.33,95,100,3.56,RU,1675396760
357,deloraine,-41.5333,146.6667,17.3,67,53,0.89,AU,1675396856
358,bulungu,-4.55,18.6,20.18,93,10,0.31,CD,1675396856
359,balykshi,47.0667,51.8667,-7.0,79,0,3.0,KZ,1675396856
360,praya,14.9215,-23.5087,20.3,73,20,7.72,CV,1675396638
361,gisors,49.2818,1.7801,7.55,97,39,2.88,FR,1675396857
